Day,Temperature (°C),Rainfall (mm),Humidity (%)
2501,13.8,38.6,72
2502,-4.8,46.6,48
2503,25.3,23.3,87
2504,8.9,26.7,49
2505,23.0,44.7,30
2506,10.0,25.6,89
2507,22.1,15.0,97
2508,10.2,34.3,65
2509,10.2,12.0,73
2510,14.8,39.6,49
2511,0.8,35.4,52
2512,11.8,8.2,45
2513,21.0,32.8,49
2514,13.3,12.3,84
2515,30.2,25.1,60
2516,29.4,2.4,24
2517,9.7,44.4,78
2518,15.2,38.4,23
2519,27.2,18.7,33
2520,28.8,12.0,24
2521,7.8,9.6,75
2522,8.2,15.5,81
2523,33.0,47.4,85
2524,1.0,34.4,22
2525,7.5,48.5,72
2526,20.9,21.8,89
2527,-1.1,32.1,79
2528,20.8,19.9,30
2529,13.6,22.2,72
2530,20.0,11.7,88
2531,1.3,31.5,95
2532,11.2,31.3,94
2533,24.3,28.7,82
2534,23.6,4.7,75
2535,-2.9,33.2,97
2536,7.0,34.4,70
2537,-3.7,33.2,32
2538,-2.7,43.5,68
2539,11.8,7.1,77
2540,34.3,25.6,48
2541,33.8,5.7,55
2542,27.8,46.3,64
2543,31.7,34.3,99
2544,10.5,43.2,47
2545,3.9,9.2,34
2546,1.8,0.5,33
2547,18.2,8.1,41
2548,4.1,41.5,97
2549,6.7,15.3,49
2550,33.7,13.9,46
2551,27.5,29.7,87
2552,12.7,10.9,31
2553,4.2,40.7,44
2554,6.2,14.5,88
2555,30.2,13.4,45
2556,14.6,22.3,58
2557,11.5,43.5,54
2558,17.0,37.8,31
2559,0.9,7.1,47
2560,21.4,21.7,88
2561,30.1,20.9,94
2562,-2.3,3.6,66
2563,-4.9,40.2,32
2564,21.5,23.9,93
2565,1.8,11.9,67
2566,5.0,25.2,40
2567,12.7,23.9,33
2568,7.9,30.2,98
2569,22.1,15.6,41
2570,33.3,27.5,27
2571,2.5,35.4,46
2572,13.2,36.0,54
2573,-0.6,1.8,82
2574,26.2,22.0,31
2575,34.7,23.3,38
2576,8.0,25.9,22
2577,-0.5,29.4,97
2578,26.8,2.2,44
2579,17.0,0.9,35
2580,0.9,40.9,43
2581,-4.3,27.7,33
2582,8.6,24.8,29
2583,0.0,40.5,25
2584,22.7,42.9,70
2585,32.3,40.5,77
2586,15.5,45.2,21
2587,4.7,28.0,99
2588,7.6,38.1,23
2589,24.2,33.0,92
2590,27.8,47.1,30
2591,7.5,48.3,25
2592,29.1,6.2,26
2593,13.1,35.8,28
2594,-1.4,35.5,23
2595,28.3,18.2,37
2596,25.3,46.8,100
2597,-4.7,4.7,33
2598,-0.9,41.6,24
2599,10.6,25.0,76
2600,19.9,26.0,87
2601,-1.6,20.7,87
2602,7.4,21.4,62
2603,22.2,38.6,81
2604,9.0,19.9,28
2605,21.9,33.6,72
2606,2.8,15.7,32
2607,20.9,36.0,58
2608,20.7,17.3,59
2609,15.1,49.7,82
2610,27.2,10.4,34
2611,32.2,17.4,91
2612,16.0,25.1,87
2613,-2.5,6.8,61
2614,21.4,4.3,76
2615,30.4,43.9,57
2616,-0.4,41.7,97
2617,-4.6,19.8,45
2618,1.2,40.3,54
2619,-2.3,17.0,58
2620,27.7,11.4,35
2621,11.7,36.5,39
2622,-2.3,37.7,59
2623,33.0,43.5,84
2624,31.1,21.4,48
2625,13.4,9.6,70
2626,4.8,36.8,57
2627,1.4,7.7,38
2628,3.6,42.3,57
2629,12.3,34.8,67
2630,2.5,14.2,51
2631,8.4,4.5,87
2632,23.2,23.4,64
2633,21.0,26.1,24
2634,32.0,15.9,47
2635,-4.1,22.8,44
2636,29.0,12.8,63
2637,1.0,41.2,38
2638,20.3,11.2,89
2639,-2.6,27.2,70
2640,18.4,12.7,48
2641,-0.6,40.3,67
2642,3.9,8.4,51
2643,-3.9,16.7,40
2644,15.7,37.3,77
2645,4.7,13.3,43
2646,28.9,35.7,26
2647,9.7,20.7,48
2648,14.0,15.0,54
2649,-1.8,37.5,47
2650,1.9,1.9,77
2651,27.9,29.0,70
2652,26.2,4.0,45
2653,8.3,15.8,52
2654,7.3,45.1,66
2655,6.0,28.8,99
2656,4.0,44.6,35
2657,23.7,48.3,100
2658,23.0,11.9,33
2659,31.3,30.4,65
2660,6.8,23.7,91
2661,5.3,7.6,84
2662,-0.4,49.3,95
2663,31.8,21.7,54
2664,4.0,47.7,20
2665,30.8,16.3,62
2666,21.4,1.5,89
2667,21.9,28.6,55
2668,7.5,15.1,81
2669,12.7,19.4,68
2670,-4.3,48.1,100
2671,34.0,24.5,43
2672,15.6,17.1,95
2673,21.2,10.0,85
2674,25.5,33.8,31
2675,11.0,10.0,65
2676,0.6,36.3,28
2677,-3.3,26.5,28
2678,9.7,12.7,21
2679,21.3,40.6,85
2680,26.9,23.7,49
2681,-3.7,8.2,45
2682,32.8,3.1,86
2683,22.8,2.8,78
2684,9.5,6.7,60
2685,26.0,24.7,31
2686,1.8,35.9,64
2687,3.0,13.1,39
2688,10.6,31.3,98
2689,4.7,20.3,44
2690,28.1,12.1,36
2691,19.9,47.9,66
2692,5.8,31.9,68
2693,25.9,43.2,95
2694,-4.3,42.8,98
2695,18.1,45.2,55
2696,13.7,4.8,82
2697,28.8,11.0,89
2698,-3.5,2.4,37
2699,31.6,0.0,56
2700,11.9,24.5,39
2701,23.4,34.9,84
2702,15.8,15.0,97
2703,17.3,20.3,34
2704,29.5,38.0,36
2705,21.4,27.2,73
2706,18.5,38.1,23
2707,26.2,43.6,66
2708,30.1,38.3,83
2709,6.0,34.5,66
2710,19.7,21.9,58
2711,30.2,21.3,42
2712,3.1,27.0,30
2713,34.3,22.5,98
2714,5.3,4.5,42
2715,13.5,5.3,67
2716,5.1,13.5,38
2717,-2.8,37.4,25
2718,33.1,34.9,27
2719,-1.1,19.9,30
2720,11.9,24.6,52
2721,6.3,27.9,76
2722,13.4,38.4,50
2723,6.9,39.2,86
2724,5.8,26.8,56
2725,12.4,38.2,71
2726,-5.0,24.9,26
2727,22.6,9.1,95
2728,3.5,27.7,76
2729,2.7,24.6,71
2730,2.6,13.1,46
2731,10.6,48.0,29
2732,34.0,2.1,29
2733,10.7,40.3,61
2734,23.2,27.0,56
2735,-4.0,11.0,100
2736,23.3,20.7,93
2737,13.7,6.6,84
2738,15.5,25.4,53
2739,12.6,21.7,84
2740,12.8,48.5,59
2741,20.1,7.6,22
2742,-4.5,24.8,74
2743,29.4,16.7,20
2744,5.4,4.0,36
2745,3.0,43.3,54
2746,17.6,9.3,96
2747,22.4,37.9,68
2748,26.5,6.4,71
2749,24.2,39.0,48
2750,-4.1,30.7,73
2751,6.6,35.3,73
2752,20.8,6.0,65
2753,29.3,33.9,48
2754,19.4,31.1,64
2755,9.1,17.5,58
2756,29.8,14.0,71
2757,28.1,3.6,46
2758,-4.5,44.9,73
2759,13.6,29.5,50
2760,22.9,36.2,97
2761,8.3,2.3,83
2762,-0.3,48.0,79
2763,34.9,25.3,70
2764,15.5,17.0,59
2765,18.7,30.5,70
2766,22.3,3.2,75
2767,26.5,20.2,45
2768,9.6,15.3,86
2769,20.4,18.2,47
2770,-1.8,17.7,25
2771,24.3,17.9,51
2772,22.6,33.2,62
2773,22.5,39.2,84
2774,14.6,2.6,53
2775,28.9,15.5,27
2776,5.6,5.1,84
2777,2.9,29.9,57
2778,19.7,20.4,91
2779,22.6,48.7,39
2780,0.3,18.1,73
2781,16.2,17.5,100
2782,32.0,31.9,87
2783,28.2,11.8,90
2784,24.6,2.8,68
2785,34.7,29.8,60
2786,21.3,45.1,97
2787,20.2,35.4,64
2788,7.1,3.2,26
2789,29.8,45.8,50
2790,16.9,35.2,48
2791,0.6,4.7,86
2792,25.7,34.4,24
2793,0.5,32.1,38
2794,9.3,21.9,48
2795,5.6,39.3,51
2796,21.1,43.9,100
2797,14.5,27.6,55
2798,21.4,25.1,85
2799,28.3,18.3,60
2800,-3.2,33.3,86
2801,-0.9,12.1,73
2802,11.4,24.3,64
2803,30.3,11.3,87
2804,24.2,32.8,57
2805,5.3,32.9,100
2806,4.1,14.3,89
2807,33.7,35.8,36
2808,12.6,40.2,20
2809,26.8,47.2,88
2810,18.4,27.8,89
2811,12.1,40.2,97
2812,4.4,21.4,35
2813,26.2,17.3,78
2814,21.6,5.2,58
2815,8.2,7.0,26
2816,2.5,23.9,30
2817,28.3,2.7,75
2818,14.3,39.8,57
2819,15.1,19.4,53
2820,-5.0,21.8,34
2821,6.6,43.1,39
2822,1.8,5.5,22
2823,33.5,38.0,74
2824,-3.4,5.4,24
2825,2.9,11.2,43
2826,3.5,25.6,33
2827,23.5,23.5,74
2828,26.7,9.2,55
2829,19.3,41.3,44
2830,14.6,45.0,79
2831,15.3,38.1,29
2832,27.0,13.7,70
2833,15.6,26.7,96
2834,24.7,11.5,30
2835,2.7,40.0,64
2836,2.7,26.6,72
2837,3.6,1.9,58
2838,24.3,1.3,92
2839,11.5,29.8,72
2840,22.2,16.8,33
2841,9.7,16.9,79
2842,22.5,5.7,21
2843,-1.6,29.2,96
2844,34.8,27.2,65
2845,2.2,5.1,44
2846,11.5,10.8,76
2847,19.1,6.0,49
2848,8.5,20.3,53
2849,21.3,4.9,77
2850,34.6,6.9,78
2851,10.2,35.9,68
2852,11.0,21.1,59
2853,-2.6,47.5,27
2854,-1.4,25.3,54
2855,4.8,0.6,91
2856,5.9,38.7,76
2857,5.0,45.6,65
2858,30.6,12.2,76
2859,5.8,7.6,25
2860,6.8,37.1,77
2861,16.3,37.8,66
2862,5.3,42.5,97
2863,34.5,15.6,83
2864,15.4,43.3,79
2865,-0.3,14.0,89
2866,27.4,0.4,25
2867,24.6,4.9,50
2868,9.4,45.5,46
2869,25.8,20.8,91
2870,-0.3,38.0,31
2871,16.5,7.1,78
2872,2.3,13.8,71
2873,7.1,27.4,83
2874,4.2,11.2,40
2875,14.6,29.7,81
2876,25.7,27.5,75
2877,25.3,23.5,88
2878,8.8,42.9,31
2879,25.9,42.4,60
2880,0.4,48.0,83
2881,22.2,25.8,77
2882,1.3,25.6,70
2883,2.2,22.6,35
2884,1.9,31.4,68
2885,-0.7,2.8,88
2886,31.3,37.7,57
2887,5.9,18.6,98
2888,8.4,5.5,75
2889,-4.3,48.1,67
2890,21.6,26.1,99
2891,6.8,21.6,33
2892,-2.8,23.3,78
2893,29.7,17.0,47
2894,26.7,49.9,37
2895,-4.4,44.9,84
2896,5.1,33.6,28
2897,16.9,41.9,81
2898,14.8,19.1,23
2899,22.8,40.2,96
2900,17.8,41.9,89
2901,-0.1,24.3,87
2902,20.5,5.4,85
2903,32.2,30.9,94
2904,-4.6,33.9,82
2905,12.9,33.8,72
2906,32.7,36.4,82
2907,11.1,39.9,36
2908,31.3,43.7,96
2909,-3.1,1.4,93
2910,33.4,16.7,85
2911,30.5,22.9,35
2912,-4.4,41.6,83
2913,7.3,27.3,95
2914,6.4,18.0,100
2915,28.8,23.2,41
2916,16.0,34.6,42
2917,12.4,32.1,68
2918,22.8,7.0,21
2919,-4.6,43.2,39
2920,11.2,21.4,36
2921,21.4,2.7,82
2922,9.8,20.4,42
2923,20.4,21.7,52
2924,20.3,36.8,90
2925,2.5,1.2,20
2926,4.0,8.7,77
2927,31.1,26.7,98
2928,18.5,11.1,65
2929,33.9,9.3,54
2930,17.3,2.9,45
2931,14.0,26.9,92
2932,9.2,1.6,92
2933,20.4,20.3,51
2934,19.7,14.8,86
2935,24.8,16.3,54
2936,18.8,7.4,95
2937,12.4,35.5,91
2938,30.1,26.3,87
2939,19.7,13.7,81
2940,31.0,1.4,93
2941,18.4,2.2,81
2942,34.7,25.5,47
2943,24.2,20.3,95
2944,22.2,6.8,65
2945,22.3,19.1,59
2946,9.8,16.4,36
2947,17.9,40.7,54
2948,12.3,21.7,43
2949,18.8,14.6,83
2950,7.3,7.6,86
2951,20.1,33.5,96
2952,5.1,16.5,91
2953,1.3,38.7,54
2954,-0.9,29.6,67
2955,-3.2,19.8,39
2956,8.4,7.1,97
2957,-3.1,46.0,36
2958,29.3,36.6,58
2959,14.6,25.3,70
2960,32.1,10.8,40
2961,-4.4,31.3,25
2962,9.2,3.3,84
2963,-4.4,2.8,100
2964,-2.8,48.9,82
2965,3.3,44.0,80
2966,12.4,31.6,68
2967,4.0,8.3,93
2968,33.9,11.1,42
2969,20.7,7.3,37
2970,1.0,14.2,74
2971,17.4,47.7,55
2972,20.5,44.2,36
2973,10.9,22.6,54
2974,14.2,26.4,90
2975,20.0,20.2,22
2976,19.4,41.9,100
2977,19.1,39.4,100
2978,-1.7,1.5,85
2979,8.0,21.3,82
2980,10.3,14.4,79
2981,20.4,20.7,57
2982,28.1,33.4,78
2983,11.3,10.7,80
2984,12.8,39.2,49
2985,28.3,22.1,55
2986,5.5,33.5,67
2987,13.1,7.0,45
2988,9.1,49.0,28
2989,9.0,6.4,78
2990,18.8,19.3,80
2991,15.3,42.6,51
2992,16.0,33.0,72
2993,16.5,18.7,60
2994,2.8,5.9,20
2995,6.2,0.4,70
2996,7.4,14.8,55
2997,28.7,0.3,63
2998,21.6,16.3,83
2999,32.8,32.4,42
3000,14.3,4.8,72
3001,9.0,42.6,81
3002,29.2,30.0,58
3003,28.8,32.7,88
3004,-2.8,16.6,25
3005,34.1,47.9,25
3006,-2.0,38.4,52
3007,30.8,29.3,51
3008,25.8,34.6,38
3009,33.8,49.3,82
3010,25.2,22.4,54
3011,5.4,0.9,79
3012,8.3,17.6,33
3013,2.1,1.0,69
3014,31.7,37.8,42
3015,15.5,49.9,29
3016,28.2,5.4,91
3017,29.9,14.1,99
3018,7.8,1.7,32
3019,34.9,19.1,44
3020,6.4,12.1,22
3021,17.1,20.8,49
3022,25.5,29.5,71
3023,-4.7,24.6,78
3024,26.5,19.1,74
3025,28.4,32.1,81
3026,18.4,2.6,29
3027,-3.4,37.4,72
3028,19.5,36.0,24
3029,18.3,32.6,93
3030,-2.2,34.9,56
3031,0.1,33.2,39
3032,2.5,17.7,95
3033,34.9,12.0,61
3034,34.1,9.7,55
3035,-2.7,33.1,99
3036,10.7,11.1,69
3037,32.4,38.9,54
3038,12.1,2.8,47
3039,18.8,1.3,89
3040,23.3,20.4,69
3041,4.2,36.3,55
3042,12.9,38.9,89
3043,32.5,31.7,79
3044,27.5,29.3,94
3045,-2.6,25.7,99
3046,-3.8,45.5,42
3047,23.3,11.6,27
3048,20.9,14.5,64
3049,1.9,42.6,98
3050,8.6,33.3,59
3051,6.7,24.6,31
3052,25.5,1.6,46
3053,19.3,26.5,35
3054,20.8,8.3,35
3055,3.5,34.7,90
3056,20.1,26.0,81
3057,28.9,28.0,40
3058,10.8,37.0,74
3059,-4.3,21.7,40
3060,-4.7,39.8,94
3061,17.1,17.8,83
3062,13.1,3.2,86
3063,11.9,23.9,37
3064,32.3,5.5,75
3065,9.5,8.7,40
3066,7.3,46.8,88
3067,9.4,17.9,48
3068,24.9,32.3,38
3069,4.4,36.7,93
3070,24.1,36.8,88
3071,28.0,9.0,59
3072,6.4,32.8,84
3073,26.8,26.3,28
3074,33.9,34.6,51
3075,-4.1,39.7,34
3076,10.7,4.3,100
3077,31.7,38.9,21
3078,7.1,32.5,77
3079,32.9,24.1,67
3080,31.4,48.2,32
3081,33.2,5.5,60
3082,3.9,31.7,65
3083,5.6,16.7,89
3084,21.0,7.6,41
3085,14.3,3.0,21
3086,7.0,16.6,40
3087,24.7,15.2,72
3088,1.1,41.9,28
3089,-3.8,0.6,78
3090,21.1,29.9,41
3091,-4.3,48.5,53
3092,13.5,11.9,82
3093,28.9,27.9,75
3094,12.4,38.4,61
3095,-2.9,48.0,87
3096,31.6,3.5,27
3097,31.5,30.2,58
3098,10.1,20.0,55
3099,-4.3,39.1,88
3100,26.4,9.5,59
3101,10.6,45.6,33
3102,-1.0,49.4,77
3103,26.3,26.1,75
3104,5.9,14.3,56
3105,9.3,45.7,87
3106,-1.6,14.6,58
3107,1.3,13.8,95
3108,9.0,37.8,96
3109,18.9,18.4,36
3110,8.6,12.2,21
3111,28.8,7.5,93
3112,31.8,13.8,47
3113,7.6,33.8,26
3114,-0.5,34.6,37
3115,0.2,49.5,20
3116,7.6,25.3,62
3117,14.4,32.7,65
3118,10.6,45.7,34
3119,11.9,39.1,97
3120,26.3,17.6,83
3121,15.8,37.3,64
3122,-1.5,41.1,24
3123,0.7,18.0,95
3124,2.6,39.5,97
3125,-2.3,1.2,80
3126,2.3,25.3,71
3127,3.8,37.5,20
3128,21.5,49.1,34
3129,32.2,15.3,49
3130,20.7,46.8,71
3131,-0.6,45.0,48
3132,-4.4,17.8,59
3133,14.6,14.1,95
3134,10.1,16.5,55
3135,0.1,18.1,96
3136,33.3,17.0,80
3137,29.9,9.1,69
3138,-2.9,0.2,47
3139,-1.6,29.2,45
3140,18.2,42.7,78
3141,33.7,0.4,59
3142,22.2,27.3,100
3143,20.6,42.9,26
3144,-4.0,48.7,93
3145,26.8,3.2,89
3146,14.4,21.5,98
3147,22.9,37.1,73
3148,12.8,37.8,82
3149,6.6,47.1,29
3150,14.3,14.2,20
3151,3.1,7.3,56
3152,31.5,5.6,63
3153,19.4,21.1,64
3154,14.5,39.4,60
3155,24.5,24.6,31
3156,21.6,24.2,84
3157,30.3,11.2,36
3158,-4.4,33.6,71
3159,-4.0,38.6,45
3160,1.6,16.2,27
3161,34.7,34.3,20
3162,10.4,11.4,92
3163,8.7,22.9,77
3164,6.1,43.7,77
3165,8.5,42.8,55
3166,11.4,45.3,32
3167,1.0,46.5,37
3168,8.0,15.5,92
3169,24.8,15.6,20
3170,28.7,43.1,37
3171,14.3,12.2,67
3172,23.5,38.1,81
3173,19.3,44.8,30
3174,34.4,18.2,97
3175,5.7,34.8,36
3176,24.7,37.1,34
3177,20.8,6.0,58
3178,17.4,14.4,84
3179,16.1,8.2,27
3180,4.4,49.5,76
3181,-0.2,5.3,48
3182,18.5,44.1,22
3183,8.5,25.5,79
3184,30.0,19.3,90
3185,5.0,23.5,56
3186,28.0,14.7,72
3187,20.5,26.2,80
3188,6.5,7.5,37
3189,9.0,18.8,34
3190,-2.5,17.1,68
3191,32.3,19.5,46
3192,5.1,32.5,92
3193,4.2,46.9,91
3194,16.5,13.6,29
3195,23.6,12.1,83
3196,-0.9,16.2,58
3197,22.0,41.9,28
3198,22.8,28.4,79
3199,28.2,2.9,53
3200,27.8,8.8,20
3201,33.4,42.7,86
3202,29.8,15.7,42
3203,3.8,30.3,27
3204,-3.2,28.5,30
3205,20.1,20.7,81
3206,29.9,9.0,74
3207,22.4,2.8,20
3208,30.8,9.3,83
3209,30.7,43.0,26
3210,-1.5,38.2,80
3211,12.7,8.9,66
3212,7.4,10.8,38
3213,7.6,20.8,60
3214,33.9,42.4,34
3215,32.0,17.6,61
3216,11.7,40.1,53
3217,26.7,3.3,27
3218,21.2,9.8,61
3219,-0.9,33.8,64
3220,27.5,23.9,54
3221,-4.4,45.2,61
3222,14.6,43.9,62
3223,24.1,18.9,61
3224,33.7,34.3,49
3225,31.6,35.4,50
3226,-1.8,12.9,36
3227,10.3,17.6,72
3228,8.2,40.5,29
3229,-0.4,34.5,49
3230,20.9,47.2,52
3231,-2.8,49.2,58
3232,3.6,21.3,43
3233,18.1,30.9,30
3234,11.1,47.1,80
3235,30.8,31.1,52
3236,12.7,45.6,55
3237,-1.8,9.3,45
3238,27.5,18.5,86
3239,-4.2,27.2,87
3240,18.0,45.9,66
3241,-4.2,48.6,89
3242,0.4,5.9,21
3243,15.2,28.3,79
3244,29.3,46.4,99
3245,-4.4,22.1,74
3246,-4.4,40.1,75
3247,4.4,21.9,44
3248,33.3,49.5,62
3249,29.6,47.0,23
3250,20.5,22.5,39
3251,-2.6,21.4,62
3252,12.7,5.9,83
3253,22.7,24.9,36
3254,9.8,25.6,31
3255,12.4,41.8,23
3256,-4.8,21.3,54
3257,28.6,28.0,63
3258,11.6,8.0,80
3259,12.4,34.3,38
3260,21.1,19.3,92
3261,15.9,0.2,75
3262,19.1,32.2,75
3263,25.0,5.0,63
3264,6.2,41.3,73
3265,7.1,5.6,46
3266,-0.1,42.2,70
3267,-2.6,4.8,93
3268,31.6,19.2,20
3269,2.8,20.6,89
3270,0.6,13.9,97
3271,3.0,26.8,94
3272,27.6,8.9,88
3273,-0.8,21.7,48
3274,5.8,46.7,91
3275,24.9,15.0,78
3276,5.5,4.4,41
3277,21.6,43.0,94
3278,10.5,12.1,71
3279,25.6,1.8,64
3280,27.0,36.9,44
3281,22.4,40.4,57
3282,33.2,44.8,49
3283,19.4,23.4,91
3284,4.5,48.1,96
3285,25.0,5.8,67
3286,-0.4,43.5,77
3287,33.0,24.0,95
3288,29.7,21.2,37
3289,33.1,7.0,89
3290,0.8,34.1,55
3291,18.8,40.9,33
3292,26.6,28.5,20
3293,34.3,8.5,55
3294,23.5,1.7,57
3295,6.0,24.1,48
3296,23.2,22.8,41
3297,15.3,29.2,37
3298,-2.2,26.9,30
3299,32.2,15.3,62
3300,2.9,22.3,84
3301,14.2,30.9,37
3302,23.3,46.8,70
3303,18.5,16.1,73
3304,27.3,18.9,72
3305,15.5,39.9,71
3306,1.4,3.6,27
3307,8.7,30.3,52
3308,32.8,40.3,33
3309,11.0,1.1,33
3310,22.6,42.6,75
3311,27.4,31.3,72
3312,25.2,26.1,38
3313,3.1,43.4,97
3314,-0.4,5.5,44
3315,-3.4,25.8,48
3316,21.9,25.4,24
3317,28.4,49.5,53
3318,-2.6,12.1,56
3319,4.1,21.2,33
3320,2.5,11.8,44
3321,-3.6,20.9,46
3322,-4.2,5.8,76
3323,3.2,47.5,95
3324,34.5,17.6,68
3325,1.6,40.2,26
3326,9.2,49.7,99
3327,21.9,6.7,76
3328,8.5,8.8,31
3329,15.0,21.2,66
3330,9.9,40.8,33
3331,28.7,31.2,82
3332,33.0,27.7,21
3333,31.0,11.2,89
3334,13.7,3.2,98
3335,17.4,16.5,21
3336,1.7,41.1,24
3337,31.1,32.7,53
3338,25.9,20.3,77
3339,22.8,0.8,47
3340,28.0,25.6,94
3341,24.5,39.8,98
3342,12.8,38.5,76
3343,5.7,33.8,90
3344,18.7,29.0,76
3345,10.8,15.4,41
3346,30.4,46.8,56
3347,26.5,31.2,68
3348,28.3,35.6,74
3349,19.7,11.6,26
3350,29.8,25.0,90
3351,5.7,1.2,73
3352,17.6,7.9,87
3353,13.9,36.1,81
3354,7.7,42.6,92
3355,1.0,18.6,36
3356,8.7,27.1,24
3357,-1.2,47.5,42
3358,30.1,20.5,72
3359,-0.2,32.3,81
3360,10.2,1.9,71
3361,28.0,1.4,24
3362,28.9,21.0,23
3363,-4.1,36.0,92
3364,-2.8,43.7,49
3365,9.6,31.7,73
3366,33.0,12.5,27
3367,-3.8,40.9,88
3368,31.7,15.2,48
3369,10.0,26.6,41
3370,26.0,13.7,94
3371,2.2,24.5,93
3372,26.6,30.8,27
3373,20.7,30.4,92
3374,24.5,46.2,54
3375,30.6,5.4,68
3376,0.4,0.7,100
3377,16.0,9.4,93
3378,2.3,2.8,38
3379,-3.0,47.3,97
3380,23.8,42.3,86
3381,16.3,37.4,100
3382,27.8,27.2,24
3383,22.4,5.4,44
3384,19.5,11.2,32
3385,9.1,30.5,71
3386,0.5,37.7,89
3387,23.7,47.0,40
3388,27.6,29.8,27
3389,19.0,5.3,22
3390,5.7,36.2,37
3391,3.5,22.5,72
3392,8.1,45.7,72
3393,4.7,37.1,61
3394,25.9,24.4,28
3395,8.8,22.9,90
3396,19.7,17.4,35
3397,6.5,32.8,57
3398,-3.3,8.6,82
3399,4.6,5.9,25
3400,26.8,1.6,73
3401,33.6,16.8,51
3402,18.4,23.1,53
3403,14.0,12.5,60
3404,29.6,42.4,72
3405,23.3,16.0,29
3406,-1.6,6.3,52
3407,8.8,1.5,31
3408,18.4,10.9,91
3409,16.6,5.4,99
3410,32.5,38.6,96
3411,17.0,7.5,97
3412,13.1,39.2,90
3413,8.5,42.9,74
3414,6.2,31.8,20
3415,27.6,14.9,29
3416,14.0,34.8,57
3417,13.3,29.5,83
3418,9.6,25.4,67
3419,29.1,10.7,84
3420,23.9,49.3,53
3421,4.7,24.8,50
3422,25.0,4.6,79
3423,13.8,4.8,73
3424,-2.8,25.5,71
3425,16.5,49.4,37
3426,16.2,47.7,43
3427,13.3,28.2,61
3428,6.6,32.8,96
3429,0.8,15.3,85
3430,24.1,24.8,100
3431,-3.1,38.9,71
3432,31.4,37.6,26
3433,5.5,12.6,93
3434,6.7,27.9,33
3435,18.2,2.6,43
3436,33.5,21.5,67
3437,8.0,47.2,72
3438,34.4,15.2,94
3439,21.8,25.5,32
3440,2.6,20.5,100
3441,29.1,41.7,100
3442,1.8,20.4,76
3443,31.0,35.8,33
3444,-3.2,15.0,21
3445,5.2,25.4,40
3446,-1.6,9.0,79
3447,10.3,14.3,74
3448,18.8,46.9,35
3449,9.7,14.3,62
3450,-0.1,44.6,48
3451,6.9,37.7,85
3452,14.4,0.2,83
3453,8.6,32.8,57
3454,2.9,1.8,76
3455,5.8,19.4,42
3456,2.9,11.8,59
3457,18.0,36.9,86
3458,6.0,41.9,58
3459,3.5,2.8,30
3460,20.4,41.2,82
3461,27.8,16.7,51
3462,12.9,40.0,89
3463,6.8,49.3,78
3464,16.2,31.5,22
3465,25.3,2.2,64
3466,-3.8,19.8,63
3467,31.2,35.7,93
3468,21.0,10.1,93
3469,34.6,48.0,60
3470,-3.7,22.8,37
3471,21.0,48.0,77
3472,12.4,46.8,66
3473,14.3,47.8,98
3474,7.1,8.9,43
3475,14.5,7.4,59
3476,14.4,28.1,30
3477,30.6,31.5,68
3478,23.6,27.5,50
3479,-0.9,4.9,53
3480,28.8,18.2,30
3481,25.9,18.2,76
3482,32.6,29.7,41
3483,14.1,46.2,71
3484,-4.6,21.3,63
3485,13.8,39.2,61
3486,-2.6,43.6,80
3487,31.5,20.4,49
3488,5.2,18.9,68
3489,3.9,39.4,88
3490,2.7,22.4,72
3491,1.8,28.6,25
3492,13.5,45.6,34
3493,9.3,31.8,95
3494,30.6,40.3,63
3495,6.7,27.0,63
3496,27.8,33.2,94
3497,31.3,18.3,70
3498,19.3,17.3,64
3499,31.2,23.0,46
3500,32.3,25.5,95
3501,4.7,31.3,32
3502,22.2,5.3,20
3503,27.0,9.7,43
3504,16.2,4.2,36
3505,17.1,2.6,78
3506,7.5,32.0,32
3507,24.6,9.2,78
3508,18.5,25.0,94
3509,12.3,10.0,62
3510,-1.7,25.3,85
3511,34.4,16.8,91
3512,4.4,17.2,60
3513,17.8,41.5,34
3514,13.2,2.7,96
3515,28.0,16.6,75
3516,7.6,31.0,81
3517,32.6,42.1,30
3518,23.3,21.7,22
3519,31.1,17.3,22
3520,30.6,7.7,53
3521,9.5,16.8,27
3522,20.4,16.9,83
3523,13.6,29.7,27
3524,28.3,29.3,46
3525,31.7,37.2,74
3526,4.5,27.1,43
3527,7.7,10.8,30
3528,34.6,13.3,77
3529,6.3,5.5,22
3530,16.9,38.2,37
3531,31.3,14.1,42
3532,-0.0,6.7,37
3533,11.7,35.3,96
3534,5.3,44.6,37
3535,19.0,6.8,30
3536,-0.9,30.4,78
3537,4.5,15.0,42
3538,30.1,4.2,21
3539,7.1,14.8,58
3540,5.9,24.0,37
3541,29.0,39.6,35
3542,24.6,11.3,36
3543,20.6,49.4,20
3544,34.5,32.4,93
3545,-0.5,48.6,31
3546,31.1,0.4,23
3547,29.8,49.9,21
3548,11.5,17.3,54
3549,29.5,0.5,100
3550,34.9,27.2,37
3551,1.9,27.5,42
3552,2.9,46.3,34
3553,1.3,41.8,89
3554,15.1,48.1,79
3555,32.1,37.1,56
3556,14.5,11.9,46
3557,23.2,33.9,53
3558,7.5,17.3,82
3559,21.4,18.9,30
3560,0.8,31.6,43
3561,29.2,15.8,28
3562,28.6,40.3,25
3563,9.6,0.9,37
3564,0.1,18.7,45
